star,sample,lT,lL,tier,alpha0,nuchar,gamma,vsini,a0_ok,sys_nu,sys_a0,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_M,ev_R,f_rot,log_alpha0,log_nuchar,rotmod_candidate
HD 192001,Shen2024_Galactic,4.518513939877887,3.63,A,242.42,1.04,1.25,57.0,True,0.0,0.0,0.6918021436870434,1.3668902751316976,0.996054746832922,0.0,23.87603318125765,0.3944362238796774,23.275031377366258,9.909568562890234,0.11369254273749237,2.3845684468941206,0.01703333929878037,False
HD 193595,Shen2024_Galactic,4.578639209968072,3.91,A,223.33,2.615,1.565,61.0,True,0.0,0.0,0.6805399484416785,1.5414646173248132,1.094464754653612,0.0,37.40277434303522,0.09572734475111952,34.79081618527121,12.429817570581376,0.09700116519528147,2.3489470659255978,0.4174716932032931,False
HD 207198,Shen2024_Galactic,4.519827993775719,4.16,A,866.89,1.37,1.79,97.0,True,0.0,0.0,0.8791580480641985,1.6532451124076732,1.3893309590789842,0.0,54.51354922081382,0.04960515641775946,45.003377877390484,24.509302898218234,0.07822627420107336,2.937963993181159,0.1367205671564068,False
HD 209975,Shen2024_Galactic,4.505149978319906,4.11,A,1155.35,0.92,1.72,104.0,True,0.0,0.0,0.8934692542315226,1.6113272613123486,1.3744059958151367,0.0,47.85499070514942,0.16718090689875434,40.86271901469551,23.681324877881618,0.08680389525846635,3.062713568680587,-0.036212172654444715,False
HD 210839,Shen2024_Galactic,4.553883026643875,4.14,A,751.0,1.85,2.29,,True,0.0,0.0,0.8290135512188054,1.6630148900635735,1.3164964370686303,0.0,55.0862230328709,0.11602641508455784,46.02723540423374,20.725090567466417,,2.8756399370041685,0.26717172840301384,False
HD 214680,Shen2024_Galactic,4.546542663478131,3.69,A,107.76,0.23,1.1,43.0,True,0.0,0.0,0.6073065451328509,1.4073637430346393,0.9767194112958113,0.0,26.266364588208027,0.16501672616453375,25.548402114186548,9.478059076010837,0.08967283807307655,2.032457582714929,-0.638272163982407,True
HD 216532,Shen2024_Galactic,4.547774705387822,3.54,A,78.345,2.785,1.89,54.0,True,0.0,0.0,0.37621142263260465,1.3753566307362848,0.8813098531962474,0.0,24.0,0.22182055810194562,23.73321812570144,7.608689354338042,0.1402800065183983,1.894011284892675,0.44482519950974775,False
HD 217086,Shen2024_Galactic,4.576341350205793,3.7,A,233.62,4.87,2.03,,True,0.0,0.0,0.4604890030335478,1.4624378989554767,0.9513601487861251,0.0,29.764961928613836,0.2426192531673093,29.002664514160248,8.940465852991377,,2.368510019595464,0.6875289612146344,False
HD 218915,Shen2024_Galactic,4.492760389026838,4.14,A,4272.76,0.645,1.68,88.0,True,0.0,0.0,0.9171024326500695,1.6183580975805691,1.4183633877003803,0.0,49.370818383675775,0.11900618472347348,41.52963341516833,26.2037464014779,0.06637906873975008,3.630708499275678,-0.19044028536473223,False
HD 225146,Shen2024_Galactic,4.451786435524291,4.09,A,16275.175,0.1149999999999999,1.235,88.0,True,0.0,0.0,0.9940964896071678,1.5283494425173372,1.4303316203430372,0.0,38.3061013600212,0.03486957491005807,33.75588063664767,26.93590801859578,0.0645747781148444,4.211525667048262,-0.9393021596463887,True
HD 228841,Shen2024_Galactic,4.576341350205793,3.82,A,254.58,5.0649999999999995,2.15,,True,0.0,0.0,0.6070383242776017,1.4998677817960784,1.0281527253453098,0.0,33.156423470464354,0.19578831018773207,31.61315071301069,10.669712696914289,,2.4058242821502596,0.7045794496962992,False
