star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
Sk -68 135,Bowman2024_LMC,LMC,0.006,4.439332693830263,,,5.97,,,0.24,0.00299,,6.42e-08,PSDmax_proxy_mmag2d,,,,,prior,SK-68135,-0.619788758288394,-2.5243288116755704,5.97,False
Sk -71 35,Bowman2024_LMC,LMC,0.006,4.361727836017593,,,5.34,,,0.35,0.00585,,4.76e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-7135,-0.4559319556497244,-2.2328441339178196,5.34,False
Sk -66 100,Bowman2024_LMC,LMC,0.006,4.5910646070264995,,,5.59,,,2.75,1.6e-05,,3.99e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-66100,0.43933269383026263,-4.795880017344075,5.59,False
BI 173,Bowman2024_LMC,LMC,0.006,4.537819095073274,,,5.6,,,2.42,1.34e-05,,3.21e-07,PSDmax_proxy_mmag2d,,,,,prior,BI173,0.38381536598043126,-4.872895201635193,5.6,False
RMC 109,Bowman2024_LMC,LMC,0.006,4.159867847092567,,,5.1,,,0.27,0.000841,,1.47e-07,PSDmax_proxy_mmag2d,,,,,prior,RMC109,-0.5686362358410126,-3.075204004202088,5.1,False
Sk -71 41,Bowman2024_LMC,LMC,0.006,4.477121254719663,,,5.5,,,0.77,0.000143,,2.55e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-7141,-0.11350927482751812,-3.844663962534938,5.5,False
Sk -68 140,Bowman2024_LMC,LMC,0.006,4.371067862271736,,,5.64,,,0.48,0.000872,,2.78e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-68140,-0.3187587626244128,-3.059483515067433,5.64,False
Sk -67 166,Bowman2024_LMC,LMC,0.006,4.6020599913279625,,,5.98,,,1.39,4.33e-05,,1.33e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-67166,0.14301480025409505,-4.363512103646634,5.98,False
Sk -68 53,Ma2024_LMC_BSG,LMC,0.006,4.138933940256924,,,4.425,47.5,,0.235,864.67,2.6,7.0,amplitude_ppm,BSG,,,,prior,SK-6853,-0.6289321377282637,2.936850391252164,4.425,False
Sk -66 125,Ma2024_LMC_BSG,LMC,0.006,4.171141151028382,,,4.703,36.5,,0.256,727.4,2.8,27.1,amplitude_ppm,BSG,,,,prior,SK-66125,-0.5917600346881504,2.861773296718693,4.703,False
Sk -67 283,Ma2024_LMC_BSG,LMC,0.006,4.17260293120986,,,4.909,46.5,,0.184,1108.24,2.3,10.5,amplitude_ppm,BSG,,,,prior,SK-67283,-0.7351821769904635,3.0446338212125967,4.909,False
