key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_R,f_rot
HD155763,23.0,42.0,SimonDiaz2017,B6 III,4.12,2.47,,1.000289794882741,0.7104632150817227,0.8728716643993378,2.0,5.138202895727625,0.2390092881799921,7.462282126717867,0.11124730446155551
HD155806,95.0,47.0,SimonDiaz2017,O7.5 V((f))z(e),4.53,4.02,,0.8437331106555639,1.5504972387366185,1.243283512702174,0.0,39.66038814887346,0.15040150055566454,17.509893826957974,0.05305498743256717
HD15629,71.0,80.0,SimonDiaz2017,O4.5 V((fc)),4.63,4.07,,0.614995885948913,1.705090304491453,1.1511322068802594,0.0,57.30811650768947,0.2911324426137191,14.162248380973985,0.11165280827990941
HD156633,64.0,128.0,SimonDiaz2017,B1.5 Vp,4.27,2.87,,0.9997991559395841,0.8737601366251537,0.8693753840596157,0.0,7.4828888844022945,0.26048194508865646,7.402448320056255,0.3417798511898461
HD157056,22.0,19.0,SimonDiaz2017,OB,4.36,2.81,,0.5324974195351179,0.9541573932462035,0.6836883802478788,0.0,9.0,0.3644095254007379,4.827123166983105,0.07779955115934667
HD157857,64.0,114.0,SimonDiaz2017,O6.5 II(f),4.56,4.18,,0.8273411937002805,1.6856886195619845,1.3358044097271404,0.0,59.51276424124428,0.05774335443355119,21.66728070362855,0.10399496482803523
HD161480,16.0,18.0,SimonDiaz2017,B6,4.14,2.26,,0.8768175203407492,0.6810375611408043,0.7105231551727689,0.0,4.800000000000001,0.15745805371679525,5.134795538370513,0.06928850975318629
HD161573,21.0,47.0,SimonDiaz2017,B4,4.22,2.55,,0.8596757965590496,0.7948630799229928,0.7541086037376791,0.0,6.238542404010119,0.17205124938070215,5.676865486647443,0.16364439127893934
HD162094,98.0,95.0,SimonDiaz2017,B3 V,4.19,2.39,,0.8376572850800816,0.7444872560502002,0.7132741874416267,0.0,5.555441643012631,0.2985700736338214,5.1674250648003826,0.36338022426327826
HD162978,102.0,58.0,SimonDiaz2017,O8 II((f)),4.54,4.09,,0.8395000127700191,1.6196859985925458,1.2962802601668189,0.0,48.24437697679419,0.14001793936554777,19.78245835592977,0.057950822479251714
HD163472,13.0,67.0,SimonDiaz2017,B2 IV-V,4.32,2.86,,0.786806603500742,0.9540363981552945,0.7948688479944683,0.0,9.0,0.529053749881665,6.235465030782699,0.2123820583100834
HD163800,105.0,59.0,SimonDiaz2017,O7.5 III((f)),4.55,4.16,,0.8392338731603765,1.6720141404519335,1.3411201082342732,0.0,57.08686034967203,0.25837578929617905,21.934114600991986,0.05316719815880333
HD164353,52.0,25.0,SimonDiaz2017,B5 Ib,4.16,3.57,,1.0019246008344325,1.1823970215303663,1.5952334782033848,2.177177821577474,15.72591362311961,0.585102660953018,39.376170620808836,0.01254926820557901
HD164438,85.0,76.0,SimonDiaz2017,O9.2 IV,4.51,3.91,,0.8610419047457065,1.4801744126995684,1.1985066947181187,0.0,32.62654695255263,0.11176475102504177,15.79452955067977,0.09510837649887627
HD164492,52.0,33.0,SimonDiaz2017,O7.5 Vz,4.59,3.65,,0.25635462276423965,1.4715381770437015,0.9031073980660256,0.0,30.0,0.04929867006691383,8.000320730266147,0.08153018214518583
HD164794,94.0,56.0,SimonDiaz2017,O4 V((f))z,4.65,4.11,,0.5889153220938705,1.7464560437304102,1.150526943856636,0.0,63.72188490597684,0.15606718776133008,14.14252463310428,0.07826596672240567
HD16582,19.0,9.0,SimonDiaz2017,B2 IV,4.34,2.94,,0.7916616933603504,0.994389862056794,0.8201875774171401,0.0,9.999999999999998,0.6959218479852753,6.609788717080047,0.0269132907245312
