gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4687485491055825536,68,12.4,SLF,8.949,0.34547,-72.299,0.59569,-4598.4,0.24622,9.3576,1.1502,0.15634,-4611.3,-0.11461,0.15609,-4592.2,0.269,4.3168,10,-0.11989,0.15643,-19.014,4526.1
4687487213367243392,27,12.9,pulsator,2.6549,0.81815,-1902.9,0.37113,-3292.6,0.02,19.145,0.8444,0.22626,-3268.1,-0.050958,0.24281,-3285.2,0.02,14.375,0.79683,-0.41205,0.226,17.028,1389.6
4687487213367243392,28,12.9,pulsator,4.2126,0.29271,-3227.8,0.2717,-5604,1.8711,1.1765,10,0.13491,-5488.4,0.16686,0.12956,-5603.3,1.878,1.0601,10,-0.35578,0.13344,114.87,2376.2
4687487213367243392,67,12.9,pulsator,6.7711,0.22745,4704.1,1.7503,-3478.9,0.20263,35.391,1.6324,0.22791,-3444.9,0.41023,0.22222,-3471.5,0.20428,34.915,1.6539,-0.16039,0.22766,26.598,8183.1
4687487213367243392,68,12.9,pulsator,6.1971,0.34547,-3680.1,0.26217,-6189,0.37859,2.9669,1.2843,0.1273,-6199.9,-0.34563,0.1257,-6185.4,0.70775,1.1462,10,-0.37768,0.12643,-14.503,2508.8
4687487900566335744,27,13,SLF,1.5486,0.81815,-5303,0.15479,-6092.2,0.54892,1.049,1.3671,0.11631,-6098.7,-0.20404,0.11829,-6086.2,0.31691,0.27565,0.31433,-0.24447,0.10082,-12.506,789.24
4687487900566335744,28,13,SLF,2.5962,0.29271,-6516.3,0.1201,-7029.1,0.36408,0.82322,0.99215,0.096312,-7022.4,-0.23917,0.099121,-7028.5,3.9117,0.12754,9.3095,-0.45651,0.097966,6.104,512.85
4687487900566335744,67,13,SLF,4.3989,0.22745,262.9,0.64258,-6371.6,0.28377,10.105,1.7347,0.12325,-6349,0.21781,0.12056,-6363.8,0.29471,9.6243,1.7872,-0.26056,0.12306,14.853,6634.5
4687487900566335744,68,13,SLF,4.2685,0.34547,-4708.8,0.20748,-5910,0.79997,1.27,1.5762,0.14318,-5920.5,-0.30842,0.14133,-5906.3,1.5086,0.42354,10,-0.38178,0.14239,-14.16,1201.2
4687499720314663296,28,13.5,none,1.756,0.29868,-6618.3,0.11709,-7369.6,0.20372,1.3366,1.198,0.091312,-7382.4,-0.18956,0.091729,-7363.4,2.0131,0.097159,10,-0.24756,0.091741,-19.042,751.34
4687499720314663296,67,13.5,none,2.5656,0.22745,-931.89,0.49074,-7199.8,0.02,84.901,1.2714,0.10216,-7192.8,0.31825,0.10161,-7197.6,0.32427,5.8643,5.3207,0.24646,0.10262,4.8117,6267.9
4687499720314663296,68,13.5,none,2.8008,0.30046,-6182.7,0.14837,-7749.4,0.42882,1.3691,1.3784,0.094161,-7760.8,-0.26167,0.093124,-7742.4,0.9288,0.36363,10,-0.29476,0.093464,-18.363,1566.8
4687501953697501568,27,14,binary/rot,0.65923,0.81815,-4792.9,0.17649,-7195.2,0.19709,3.0402,1.2516,0.083989,-7178.1,0.29616,0.086488,-7187.3,0.17431,3.1849,1.2215,-0.31412,0.083967,9.217,2402.3
4687501953697501568,28,14,binary/rot,1.4689,0.29271,-1345.3,0.43357,-6452.2,0.4294,5.9598,2.3275,0.10882,-6388.1,0.50877,0.10432,-6497.8,0.64682,3.6598,10,0.19303,0.10736,109.72,5106.9
4687501953697501568,67,14,binary/rot,2.367,0.22745,-4834.7,0.20343,-7238.2,0.12913,4.5808,1.16,0.10501,-7250.2,0.15272,0.10617,-7231.7,0.21482,0.50478,0.70384,0.10874,0.10365,-18.529,2403.5
