483 tables in 370 catalogs
I/221/lmc                    (1) [Magellanic Cloud] The Large Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
J/AJ/159/243                 (1) [TESS] The flattened TESS PDCSAP 2-minute cadence light curve ( Pepper J., Kane S.R., Rodriguez J.E., et al.)
J/AJ/159/60                  (2) [TESS] Catalog of all individual flares found in the Transiting Exoplanet Survey Satellite (TESS) sectors 1 and 2 ( G
J/AJ/160/209                 (1) [TESS] TESS and K2 transits for K2-114, K2-167, K2-237, & K2-261 ( Ikwut-Ukwa M., Rodriguez J.E., Bieryla A., et al.)
J/AJ/160/235                 (1) [TESS] Long cadence TESS light curve data for TOI-481 and TOI-892 ( Brahm R., Nielsen L.D., Wittenmyer R.A., et al.)
J/AJ/161/164                 (2) [TESS] TESS stars observed by NESSI at WIYN ( Howell S.B., Matson R.A., Ciardi D.R., Everett M.E., Livingston J.H., S
J/AJ/161/194                 (1) [TESS] TESS Follow-up Observing Program (TFOP) SG1 follow-up transits of TOI-628b, TOI-640b, TOI-1333b, TOI-1478b, an
J/AJ/161/23                  (1) [TESS] TESS photometry of TOI 540 from Sectors 4-6 ( Ment K., Irwin J., Charbonneau D., et al.)
J/AJ/161/233                 (3) [TESS] *The Revised TESS HZ Catalog: 4239 stars TESS observed long enough to see planets with Earth-analog irradiatio
J/AJ/161/65                  (1) [TESS] TESS light curve of TOI 451 B ( Newton E.R., Mann A.W., Kraus A.L., et al.)
J/AJ/162/147                 (1) [TESS] Rotation periods of 1-3R{Earth} TOIs observed by Evryscope and TESS ( Howard W.S., Teske J., Corbett H., Law N
J/AJ/162/192                 (2) [TESS] Nearby stars detected by SOAR to TESS planet candidate hosts ( Ziegler C., Tokovinin A., Latiolais M., Briceno
J/AJ/162/292                 (1) [TESS] TESS Sector 15 and 16 single-scale MAP corrected PDC photometry of TOI-1431b ( Addison B.C., Knudstrup E., Won
J/AJ/164/135                 (2) [TESS] Asteroseismic quantities for 1709 stars in the HD-TESS catalog ( Hon M., Kuszlewicz J.S., Huber D., Stello D.,
J/AJ/164/137                 (1) [TESS] Measured TESS periods ( Kounkel M., Stassun K.G., Bouma L.G., Covey K., Hillenbrand L.A., Lee Curtis J.)
J/AJ/164/15                  (1) [TESS] *TESS planet candidates which are considered here to be potential targets for Ariel ( Edwards B., Tinetti G.)
J/AJ/164/254                 (1) [TESS] Section 32 PLD-detrended TESS light curve ( Gupta A.F., Luhn J., Wright J.T., Mahadevan S., Ford E.B., Stefans
J/AJ/164/70                  (2) [TESS] Summary of TESS observations ( Yee S.W., Winn J.N., Hartman J.D., et al.)
J/AJ/165/207                 (1) [TESS] Full TESS PDCSAP median corrected light curves for TOI-778 from Sector 10 and Sector 37 ( Clark J.T., Addison 
J/AJ/166/152                 (1) [TESS] TESS results, gt200pts (table 1) ( McNeill A., Gowanlock M., Mommert M., Trilling D.E., Llama J., Paddock N.)
J/AJ/166/153                 (1) [TESS] Summary of 2 minute cadence TESS observations ( Murphy J.M., Batalha N.M., Scarsdale N., et al.)
J/AJ/166/193                 (2) [TESS] TESS candidates used as bore sight pointings for survey ( Johnson O.A., Gajjar V., Keane E.F., et al.)
J/AJ/166/23                  (1) [OB stars] The S1.4GHz brightest OB stars ( Huang Q., Jiang B., Deng D., Yu B., Zijlstra A.)
J/AJ/166/83                  (1) [TESS] V838 Cyg TESS light curve ( Li L.-J., Qian S.-B., Shi X.-D., Zhu L.-Y.)
